,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,img_number,ID,color_id,frame,track,batch,pass,environment,bee_range,filepath,background,reID,color_num
0,0,0,0,0,0,11,blue-green,26638,131,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000131.frame026638.jpg,blue,11,1
1,1,1,1,1,1,11,blue-green,26469,131,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000131.frame026469.jpg,blue,11,1
2,2,2,2,2,2,11,blue-green,26516,131,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000131.frame026516.jpg,blue,11,1
3,3,3,3,3,3,11,blue-green,26591,131,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000131.frame026591.jpg,blue,11,1
4,4,4,4,4,4,11,blue-green,24763,200,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000200.frame024763.jpg,white,11,1
5,5,5,5,5,5,11,blue-green,24467,198,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000198.frame024467.jpg,white,11,1
6,6,6,6,6,6,11,blue-green,26077,130,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000130.frame026077.jpg,white,11,1
7,7,7,7,7,7,11,blue-green,24772,200,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000200.frame024772.jpg,white,11,1
8,8,8,8,8,8,15,blue-lillac,33775,276,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000276.frame033775.jpg,blue,15,2
9,9,9,9,9,9,15,blue-lillac,33761,276,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000276.frame033761.jpg,blue,15,2
10,10,10,10,10,10,15,blue-lillac,36645,195,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000195.frame036645.jpg,blue,15,2
11,11,11,11,11,11,15,blue-lillac,36637,195,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000195.frame036637.jpg,blue,15,2
