,Unnamed: 0.1,Unnamed: 0,img_number,ID,color_id,frame,track,batch,pass,environment,bee_range,filepath,background,reID,color_num
0,0,0,0,74,blue-blue,19769,166,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000166.frame019769.jpg,blue,74,0
1,1,1,1,74,blue-blue,19933,171,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000171.frame019933.jpg,blue,74,0
2,2,2,2,74,blue-blue,19930,171,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000171.frame019930.jpg,blue,74,0
3,3,3,3,74,blue-blue,19927,171,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000171.frame019927.jpg,blue,74,0
4,4,4,4,74,blue-blue,19462,162,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000162.frame019462.jpg,white,74,0
5,5,5,5,74,blue-blue,19461,162,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000162.frame019461.jpg,white,74,0
6,6,6,6,74,blue-blue,13411,83,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000083.frame013411.jpg,white,74,0
7,7,7,7,74,blue-blue,13776,83,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000083.frame013776.jpg,white,74,0
8,8,8,8,82,green-blue,33340,318,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000318.frame033340.jpg,blue,82,8
9,9,9,9,82,green-blue,33204,317,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000317.frame033204.jpg,blue,82,8
10,10,10,10,82,green-blue,22179,311,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000311.frame022179.jpg,blue,82,8
11,11,11,11,82,green-blue,30169,180,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000180.frame030169.jpg,blue,82,8
12,12,12,12,82,green-blue,21886,305,2,1.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_1.mp4.mp4.track000305.frame021886.jpg,white,82,8
13,13,13,13,82,green-blue,30311,181,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000181.frame030311.jpg,white,82,8
14,14,14,14,82,green-blue,30580,181,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000181.frame030580.jpg,white,82,8
15,15,15,15,82,green-blue,30413,181,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000181.frame030413.jpg,white,82,8
16,16,16,16,83,green-green,34774,331,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000331.frame034774.jpg,blue,83,9
17,17,17,17,83,green-green,38620,202,2,,in-lab,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-in-lab-65-96_batch_2.mp4.mp4.track000202.frame038620.jpg,blue,83,9
18,18,18,18,83,green-green,34514,323,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000323.frame034514.jpg,blue,83,9
19,19,19,19,83,green-green,35108,332,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000332.frame035108.jpg,blue,83,9
20,20,20,20,83,green-green,34141,321,2,2.0,outside,65-96,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-white-blue-outside-65-96_batch_2_pass_2.mp4.mp4.track000321.frame034141.jpg,white,83,9
