,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,img_number,ID,color_id,frame,track,batch,pass,environment,bee_range,filepath,background,reID,color_num
0,0,0,0,0,12,blue-pink,27761,236,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000236.frame027761.jpg,blue,12,4
1,1,1,1,1,12,blue-pink,28492,135,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000135.frame028492.jpg,blue,12,4
2,2,2,2,2,12,blue-pink,29233,135,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000135.frame029233.jpg,blue,12,4
3,3,3,3,3,12,blue-pink,28491,135,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000135.frame028491.jpg,blue,12,4
4,4,4,4,4,12,blue-pink,29288,135,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000135.frame029288.jpg,blue,12,4
5,5,5,5,5,12,blue-pink,27775,236,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000236.frame027775.jpg,blue,12,4
6,6,6,6,6,12,blue-pink,29271,135,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000135.frame029271.jpg,blue,12,4
7,7,7,7,7,12,blue-pink,29255,135,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000135.frame029255.jpg,blue,12,4
8,8,8,8,8,12,blue-pink,28363,134,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000134.frame028363.jpg,white,12,4
9,9,9,9,9,12,blue-pink,27872,134,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000134.frame027872.jpg,white,12,4
10,10,10,10,10,12,blue-pink,26781,226,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000226.frame026781.jpg,white,12,4
11,11,11,11,11,12,blue-pink,28361,134,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000134.frame028361.jpg,white,12,4
12,12,12,12,12,12,blue-pink,27228,132,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000132.frame027228.jpg,white,12,4
13,13,13,13,13,12,blue-pink,27330,132,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000132.frame027330.jpg,white,12,4
14,14,14,14,14,12,blue-pink,26794,226,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000226.frame026794.jpg,white,12,4
15,15,15,15,15,12,blue-pink,26532,226,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000226.frame026532.jpg,white,12,4
16,16,16,16,16,16,blue-red,36367,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame036367.jpg,blue,16,5
17,17,17,17,17,16,blue-red,36444,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame036444.jpg,blue,16,5
18,18,18,18,18,16,blue-red,36679,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame036679.jpg,blue,16,5
19,19,19,19,19,16,blue-red,36461,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame036461.jpg,blue,16,5
20,20,20,20,20,16,blue-red,35999,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame035999.jpg,blue,16,5
21,21,21,21,21,16,blue-red,39020,206,1,2.0,outside,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-outside_2-1-32_batch_1.mp4.mp4.track000206.frame039020.jpg,blue,16,5
22,22,22,22,22,16,blue-red,35995,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame035995.jpg,blue,16,5
23,23,23,23,23,16,blue-red,36243,291,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000291.frame036243.jpg,blue,16,5
24,24,24,24,24,16,blue-red,34996,286,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000286.frame034996.jpg,white,16,5
25,25,25,25,25,16,blue-red,34824,286,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000286.frame034824.jpg,white,16,5
26,26,26,26,26,16,blue-red,34807,286,1,,in-lab,1-32,/home/gsantiago/summer_bee_data/summer_bee_data/images/young-adults-blue-white-in-lab-1-32_batch_1.mp4.mp4.track000286.frame034807.jpg,white,16,5
