img_number,color_id,frame,track,batch,pass,environment,bee_range,filepath
0,white-yellow,831,4,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000004.frame000831.jpg
1,white-yellow,903,4,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000004.frame000903.jpg
2,white-yellow,1129,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001129.jpg
3,white-yellow,1145,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001145.jpg
4,white-yellow,1155,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001155.jpg
5,white-yellow,1157,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001157.jpg
6,white-yellow,1158,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001158.jpg
7,white-yellow,1159,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001159.jpg
8,white-yellow,1166,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001166.jpg
9,white-yellow,1241,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001241.jpg
10,white-yellow,1346,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001346.jpg
11,white-yellow,1509,5,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000005.frame001509.jpg
12,white-yellow,1525,8,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000008.frame001525.jpg
13,white-yellow,1573,9,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000009.frame001573.jpg
14,white-yellow,1607,9,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000009.frame001607.jpg
15,white-yellow,1608,9,1,,in-lab,33-64,./images/young-adults-blue-white-in-lab-33-64_batch_1.mp4.mp4.track000009.frame001608.jpg
